35,"<strong>Gently Exceed Your Users' Expectations</strong><br />Come to understand your users' expectations, then deliver just that little bit more."
36,"<strong>Think! About Your Work</strong><br />Turn off the autopilot and take control. Constantly critique and appraise your work."
37,"<strong>Don't Live with Broken Windows</strong><br />Fix bad designs, wrong decisions, and poor code when you see them."
38,"<strong>Remember the Big Picture</strong><br />Don't get so engrossed in the details that you forget to check what's happening around you."
39,"<strong>Invest Regularly in Your Knowledge Portfolio</strong><br />Make learning a habit."
40,"<strong>It's Both What You Say and the Way You Say It</strong><br />There's no point in having great ideas if you don't communicate them effectively."
41,"<strong>Make It Easy to Reuse</strong><br />If it's easy to reuse, people will. Create an environment that supports reuse."
42,"<strong>There Are No Final Decisions</strong><br />No decision is cast in stone. Instead, consider each as being written in the sand at the beach, and plan for change."
43,"<strong>Prototype to Learn</strong><br />Prototyping is a learning experience. Its value lies not in the code you produce, but in the lessons you learn."
44,"<strong>Estimate to Avoid Surprises</strong><br />Estimate before you start. You'll spot potential problems up front."
45,"<strong>Keep Knowledge in Plain Text</strong><br />Plain text won't become obsolete. It helps leverage your work and simplifies debugging and testing."
46,"<strong>Use a Single Editor Well</strong><br />The editor should be an extension of your hand; make sure your editor is configurable, extensible, and programmable."
47,"<strong>Fix the Problem, Not the Blame</strong><br />It doesn't really matter whether the bug is your fault or someone else's - it is still your problem, and it still needs to be fixed."
48,"<strong>'select' Isn't Broken</strong><br />It is rare to find a bug in the OS or the compiler, or even a third-party product or library. The bug is most likely in the application."
49,"<strong>Learn a Text Manipulation Language</strong><br />You spend a large part of each day working with text. Why not have the computer do some of it for you?"
50,"<strong>You Can't Write Perfect Software</strong><br />Software can't be perfect. Protect your code and users from the inevitable errors."
51,"<strong>Crash Early</strong><br />A dead program normally does a lot less damage than a crippled one."
52,"<strong>Use Exceptions for Exceptional Problems</strong><br />Exceptions can suffer from all the readability and maintainability problems of classic spaghetti code. Reserve exceptions for exceptional things."
53,"<strong>Minimize Coupling Between Modules</strong><br />Avoid coupling by writing 'shy' code and applying the Law of Demeter."
54,"<strong>Put Abstractions in Code, Details in Metadata</strong><br />Program for the general case, and put the specifics outside the compiled code base."
55,"<strong>Design Using Services</strong><br />Design in terms of services-independent, concurrent objects behind well-defined, consistent interfaces."
56,"<strong>Separate Views from Models</strong><br />Gain flexibility at low cost by designing your application in terms of models and views."
57,"<strong>Don't Program by Coincidence</strong><br />Rely only on reliable things. Beware of accidental complexity, and don't confuse a happy coincidence with a purposeful plan."
58,"<strong>Test Your Estimates</strong><br />Mathematical analysis of algorithms doesn't tell you everything. Try timing your code in its target environment."
59,"<strong>Design to Test</strong><br />Start thinking about testing before you write a line of code."
60,"<strong>Don't Use Wizard Code You Don't Understand</strong><br />Wizards can generate reams of code. Make sure you understand all of it before you incorporate it into your project."
61,"<strong>Work with a User to Think Like a User</strong><br />It's the best way to gain insight into how the system will really be used."
62,"<strong>Use a Project Glossary</strong><br />Create and maintain a single source of all the specific terms and vocabulary for a project."
63,"<strong>Start When You're Ready</strong><br />You've been building experience all your life. Don't ignore niggling doubts."
64,"<strong>Don't Be a Slave to Formal Methods</strong><br />Don't blindly adopt any technique without putting it into the context of your development practices and capabilities."
65,"<strong>Organize Teams Around Functionality</strong><br />Don't separate designers from coders, testers from data modelers. Build teams the way you build code."
66,"<strong>Test Early. Test Often. Test Automatically.</strong><br />Tests that run with every build are much more effective than test plans that sit on a shelf."
67,"<strong>Use Saboteurs to Test Your Testing</strong><br />Introduce bugs on purpose in a separate copy of the source to verify that testing will catch them."
68,"<strong>Find Bugs Once</strong><br />Once a human tester finds a bug, it should be the last time a human tester finds that bug. Automatic tests should check for it from then on."
69,"<strong>Build Documentation In, Don't Bolt It On</strong><br />Documentation created separately from code is less likely to be correct and up to date."
70,"<strong>Sign Your Work</strong><br />Craftsmen of an earlier age were proud to sign their work. You should be, too."
